"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"22/08/2019","GOIL","3.12","2.00","2.00","2.00","1.99","2.00","0","1.90","1.99","30,700.00","61,393.00"
"21/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","600.00","1,200.00"
"20/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","200.00","400.00"
"19/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","","2.00","200.00","400.00"
"16/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","400.00","800.00"
"15/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","1,600.00","3,200.00"
"14/08/2019","GOIL","3.12","2.00","2.00","2.00","1.99","2.00","0","1.99","2.00","800.00","1,596.00"
"13/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","200.00","400.00"
"09/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","3,400.00","6,800.00"
"08/08/2019","GOIL","3.12","2.00","2.00","2.00","1.99","2.00","0","1.99","2.00","7,100.00","14,188.00"
"07/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.90","2.00","200.00","400.00"
"06/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.90","2.00","0.00","0.00"
"02/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.90","2.00","1,000.00","2,000.00"
"01/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","","2.00","49,600.00","99,200.00"
"31/07/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","","2.00","2,000.00","4,000.00"
"30/07/2019","GOIL","3.12","2.00","2.02","2.02","2.00","2.00","-0.02","","2.00","2,400.00","4,802.00"
"29/07/2019","GOIL","3.12","2.02","2.05","2.05","2.02","2.02","-0.03","","2.02","50,000.00","101,000.00"
"26/07/2019","GOIL","3.12","2.05","2.18","2.18","2.00","2.05","-0.13","","2.00","1,900.00","3,900.00"
"25/07/2019","GOIL","3.12","2.18","2.20","2.20","2.17","2.18","-0.02","","2.18","1,600.00","3,482.00"
"24/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","2,600.00","5,720.00"
"23/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.10","2.20","800.00","1,760.00"
"22/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","1,000.00","2,200.00"
"19/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","1,500.00","3,300.00"
"18/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","0.00","0.00"
"17/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","1,000.00","2,200.00"
"16/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","200.00","440.00"
"15/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","","0.00","0.00"
"12/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","1,200.00","2,640.00"
"11/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","300.00","660.00"
"10/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","400.00","880.00"
"09/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","18,400.00","40,480.00"
"08/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","1,300.00","2,860.00"
"05/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","700.00","1,540.00"
"04/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","0.00","0.00"
"03/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","0.00","0.00"
"02/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","3,100.00","6,820.00"
"01/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.10","2.20","0.00","0.00"
"28/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.05","","3,500.00","7,700.00"
"27/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.10","2.20","91,700.00","201,740.00"
"26/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","251,500.00","553,300.00"
"25/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","206,500.00","454,300.00"
"24/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","0.00","0.00"
"21/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.10","","3,200.00","7,040.00"
"20/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.10","2.20","1,100.00","2,420.00"
"19/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","600.00","1,320.00"
"18/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","0.00","0.00"
"17/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","","0.00","0.00"
"14/06/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","","0.00","0.00"
"13/06/2019","GOIL","3.12","2.20","2.30","2.30","2.20","2.20","-0.1","2.20","","500.00","1,100.00"
"12/06/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","2.00","","800.00","1,840.00"
"11/06/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","2.00","","0.00","0.00"
"10/06/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","2.00","","100.00","230.00"
"07/06/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","2.00","2.30","45,600.00","104,880.00"
"06/06/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","","2.30","2,500.00","5,750.00"
"04/06/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","2.30","2.40","100.00","230.00"
"03/06/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","2.30","","200.00","460.00"
"31/05/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","2.30","","0.00","0.00"
"30/05/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","","","900.00","2,070.00"
"29/05/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","","2.30","13,700.00","31,510.00"
"28/05/2019","GOIL","3.12","2.20","2.35","2.35","2.30","2.30","-0.05","","","5,100.00","11,730.00"
"27/05/2019","GOIL","3.12","2.20","2.35","2.35","2.35","2.35","0","","2.35","0.00","0.00"
"24/05/2019","GOIL","3.12","2.20","2.35","2.35","2.35","2.35","0","","2.35","1,600.00","3,760.00"
"23/05/2019","GOIL","3.12","2.20","2.36","2.36","2.35","2.35","-0.01","","2.35","2,800.00","6,593.00"
"22/05/2019","GOIL","3.12","2.20","2.36","2.36","2.36","2.36","0","2.36","","0.00","0.00"
"21/05/2019","GOIL","3.12","2.20","2.36","2.36","2.36","2.36","0","2.35","2.36","19,300.00","45,548.00"
"20/05/2019","GOIL","3.12","2.20","2.35","2.35","2.36","2.36","0.01","2.35","2.36","18,500.00","43,660.00"
"17/05/2019","GOIL","3.12","2.20","2.35","2.35","2.35","2.35","0","2.34","","35,100.00","82,485.00"
"16/05/2019","GOIL","3.12","2.20","2.35","2.35","2.35","2.35","0","","","0.00","0.00"
"15/05/2019","GOIL","3.12","2.20","2.35","2.35","2.35","2.35","0","","","300.00","705.00"
"14/05/2019","GOIL","3.12","2.20","2.35","2.35","2.34","2.35","0","2.35","","0.00","0.00"
"13/05/2019","GOIL","3.12","2.20","2.35","2.35","2.34","2.35","0","2.30","2.35","6,600.00","15,495.00"
"10/05/2019","GOIL","3.12","2.20","2.35","2.35","2.35","2.35","0","2.35","","100.00","235.00"
"09/05/2019","GOIL","3.12","2.20","2.30","2.30","2.35","2.35","0.05","","","108,000.00","253,385.00"
"08/05/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","","2.30","800.00","1,840.00"
"07/05/2019","GOIL","3.12","2.20","2.30","2.30","2.30","2.30","0","","2.30","2,000.00","4,600.00"
"06/05/2019","GOIL","3.12","2.20","2.40","2.40","2.30","2.30","-0.1","","2.30","8,900.00","20,470.00"
"03/05/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.40","11,400.00","27,360.00"
"02/05/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.40","500.00","1,200.00"
"30/04/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.40","0.00","0.00"
"29/04/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.40","2,100.00","5,040.00"
"26/04/2019","GOIL","3.12","2.20","2.40","2.40","2.43","2.40","0","","2.40","0.00","0.00"
"25/04/2019","GOIL","3.12","2.20","2.40","2.40","2.43","2.40","0","","","1,200.00","2,881.00"
"24/04/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.40","229,400.00","550,560.00"
"23/04/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.40","1,000.00","2,400.00"
"18/04/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.40","32,000.00","76,800.00"
"17/04/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.40","200.00","480.00"
"16/04/2019","GOIL","3.12","2.20","2.40","2.40","2.40","2.40","0","","2.43","0.00","0.00"
"15/04/2019","GOIL","3.12","2.20","2.20","2.20","2.40","2.40","0.2","","2.43","100.00","240.00"
"12/04/2019","GOIL","3.12","2.20","2.42","2.42","2.20","2.20","-0.22","","2.20","28,100.00","61,842.00"
"11/04/2019","GOIL","3.12","2.42","2.42","2.42","2.42","2.42","0","","2.42","3,200.00","7,744.00"
"10/04/2019","GOIL","3.12","2.42","2.43","2.43","2.42","2.42","-0.01","","2.42","36,000.00","87,120.00"
"09/04/2019","GOIL","3.12","2.43","2.43","2.43","2.43","2.43","0","","2.43","0.00","0.00"
"08/04/2019","GOIL","3.12","2.43","2.43","2.43","2.43","2.43","0","","","5,400.00","13,122.00"
"05/04/2019","GOIL","3.12","2.43","2.43","2.43","2.43","2.43","0","","2.43","52,000.00","126,360.00"
"04/04/2019","GOIL","3.12","2.43","2.43","2.43","2.43","2.43","0","2.16","2.43","569,400.00","1,382,442.00"
"03/04/2019","GOIL","3.12","2.43","2.43","2.43","2.36","2.43","0","2.16","2.40","0.00","0.00"
"02/04/2019","GOIL","3.12","2.43","2.49","2.49","2.36","2.43","-0.06","2.16","2.34","59,900.00","145,594.00"
"01/04/2019","GOIL","3.12","2.49","2.51","2.51","2.48","2.49","-0.02","2.16","2.48","20,700.00","51,524.00"
"29/03/2019","GOIL","3.12","2.51","2.53","2.53","2.50","2.51","-0.02","2.16","2.50","1,400.00","3,518.00"
"28/03/2019","GOIL","3.12","2.53","2.53","2.53","2.53","2.53","0","2.16","2.53","0.00","0.00"
"27/03/2019","GOIL","3.12","2.53","2.54","2.54","2.53","2.53","-0.01","2.16","2.53","200.00","506.00"
"26/03/2019","GOIL","3.12","2.54","2.54","2.54","2.54","2.54","0","","2.53","0.00","0.00"
"25/03/2019","GOIL","3.12","2.54","2.54","2.54","2.54","2.54","0","","2.53","0.00","0.00"
"22/03/2019","GOIL","3.12","2.54","2.54","2.54","2.54","2.54","0","","2.54","0.00","0.00"
"21/03/2019","GOIL","3.12","2.54","2.54","2.54","2.54","2.54","0","","2.54","200.00","508.00"
"20/03/2019","GOIL","3.12","2.54","2.54","2.54","2.54","2.54","0","","2.54","100.00","254.00"
"19/03/2019","GOIL","3.12","2.54","2.54","2.54","2.54","2.54","0","","2.54","1,900.00","4,826.00"
"18/03/2019","GOIL","3.12","2.54","2.54","2.54","2.54","2.54","0","","2.54","3,000.00","7,620.00"
"15/03/2019","GOIL","3.12","2.54","2.54","2.54","2.54","2.54","0","","2.54","5,800.00","14,732.00"
"14/03/2019","GOIL","3.12","2.54","2.83","2.83","2.50","2.54","-0.29","","2.50","13,400.00","34,080.00"
"13/03/2019","GOIL","3.12","2.83","2.88","2.88","2.83","2.83","-0.05","2.60","2.83","700.00","1,981.00"
"12/03/2019","GOIL","3.12","2.88","2.88","2.88","2.88","2.88","0","2.60","2.85","300.00","864.00"
"11/03/2019","GOIL","3.12","2.88","2.90","2.90","2.88","2.88","-0.02","2.60","2.88","200.00","576.00"
"08/03/2019","GOIL","3.12","2.90","2.90","2.90","2.90","2.90","0","2.80","2.90","300.00","870.00"
"07/03/2019","GOIL","3.12","2.90","2.90","2.90","2.90","2.90","0","2.60","2.89","0.00","0.00"
"05/03/2019","GOIL","3.12","2.90","2.90","2.90","2.90","2.90","0","2.60","2.90","0.00","0.00"
"04/03/2019","GOIL","3.12","2.90","2.90","2.90","2.90","2.90","0","2.60","2.90","0.00","0.00"
"01/03/2019","GOIL","3.12","2.90","2.92","2.92","2.90","2.90","-0.02","2.60","2.90","3,000.00","8,701.00"
"28/02/2019","GOIL","3.12","2.92","2.93","2.93","2.92","2.92","-0.01","","2.92","300.00","876.00"
"27/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.92","0.00","0.00"
"26/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.93","200.00","586.00"
"25/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","2.92","2.93","0.00","0.00"
"22/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.93","700.00","2,051.00"
"21/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.93","200.00","586.00"
"20/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.94","0.00","0.00"
"19/02/2019","GOIL","3.12","2.93","2.94","2.94","2.93","2.93","-0.01","","2.94","1,900.00","5,570.00"
"18/02/2019","GOIL","3.12","2.93","2.94","2.94","2.94","2.94","0","2.60","2.94","1,000.00","2,940.00"
"15/02/2019","GOIL","3.12","2.93","2.93","2.93","2.94","2.94","0.01","2.60","2.94","800.00","2,352.00"
"14/02/2019","GOIL","3.12","2.93","2.93","2.93","2.92","2.93","0","","2.90","0.00","0.00"
"13/02/2019","GOIL","3.12","2.93","2.93","2.93","2.92","2.93","0","","2.92","1,900.00","5,563.00"
"12/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.93","900.00","2,637.00"
"11/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.93","100.00","293.00"
"08/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.93","0.00","0.00"
"07/02/2019","GOIL","3.12","2.93","2.93","2.93","2.93","2.93","0","","2.93","100.00","293.00"
"06/02/2019","GOIL","3.12","2.93","2.95","2.95","2.60","2.93","-0.02","","2.60","52,600.00","154,260.00"
"05/02/2019","GOIL","3.12","2.95","2.99","2.99","2.95","2.95","-0.04","2.55","2.95","100.00","295.00"
"04/02/2019","GOIL","3.12","2.99","3.00","3.00","2.99","2.99","-0.01","2.55","2.99","100.00","299.00"
"01/02/2019","GOIL","3.12","3.00","3.00","3.00","3.00","3.00","0","2.55","3.00","0.00","0.00"
"31/01/2019","GOIL","3.12","3.00","3.00","3.00","3.00","3.00","0","2.55","2.99","0.00","0.00"
"30/01/2019","GOIL","3.12","3.00","3.00","3.00","3.00","3.00","0","2.55","2.99","0.00","0.00"
"29/01/2019","GOIL","3.12","3.00","3.00","3.00","3.00","3.00","0","","2.99","400.00","1,200.00"
"28/01/2019","GOIL","3.12","3.00","3.00","3.00","3.00","3.00","0","","2.99","0.00","0.00"
"25/01/2019","GOIL","3.12","3.00","3.03","3.03","3.00","3.00","-0.03","","3.00","100.00","300.00"
"24/01/2019","GOIL","3.12","3.03","3.03","3.03","3.03","3.03","0","","3.00","0.00","0.00"
"23/01/2019","GOIL","3.12","3.03","3.05","3.05","3.03","3.03","-0.02","","3.00","300.00","909.00"
"22/01/2019","GOIL","3.12","3.05","3.07","3.07","3.05","3.05","-0.02","","3.04","500.00","1,525.00"
"21/01/2019","GOIL","3.12","3.07","3.09","3.09","3.07","3.07","-0.02","","3.07","600.00","1,842.00"
"18/01/2019","GOIL","3.12","3.09","3.10","3.10","3.09","3.09","-0.01","","3.08","7,500.00","23,175.00"
"17/01/2019","GOIL","3.12","3.10","3.11","3.11","3.10","3.10","-0.01","","3.10","16,000.00","49,600.00"
"16/01/2019","GOIL","3.12","3.11","3.10","3.10","3.10","3.11","0.01","","3.10","200.00","622.00"
"15/01/2019","GOIL","3.12","3.11","3.10","3.10","3.11","3.10","0","3.00","3.10","200.00","620.00"
"14/01/2019","GOIL","3.12","3.11","3.10","3.10","3.11","3.10","0","","3.09","0.00","0.00"
"11/01/2019","GOIL","3.12","3.11","3.10","3.10","3.11","3.10","0","","3.10","0.00","0.00"
"10/01/2019","GOIL","3.12","3.11","3.11","3.11","3.11","3.10","-0.01","","3.11","100.00","310.00"
"09/01/2019","GOIL","3.12","3.11","3.11","3.11","3.11","3.11","0","","3.11","0.00","0.00"
"08/01/2019","GOIL","3.12","3.11","3.12","3.12","3.11","3.11","-0.01","","3.11","200.00","622.00"
"04/01/2019","GOIL","3.12","3.12","3.12","3.12","3.12","3.12","0","","3.12","1,500.00","4,680.00"
"03/01/2019","GOIL","3.12","3.12","3.12","3.12","3.12","3.12","0","3.00","","6,200.00","19,344.00"
"02/01/2019","GOIL","3.12","3.12","3.12","3.12","3.12","3.12","0","","","3,100.00","9,672.00"
"31/12/2018","GOIL","5.05","2.92","3.12","3.12","3.00","3.12","0","","3.12","0.00","0.00"
"28/12/2018","GOIL","5.05","2.92","3.20","3.20","3.00","3.12","-0.08","","3.00","35,600.00","111,200.00"
"27/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","3.00","3.20","100.00","320.00"
"24/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","2,100.00","6,720.00"
"21/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","0.00","0.00"
"20/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","1,200.00","3,840.00"
"19/12/2018","GOIL","5.05","2.92","3.20","3.20","3.19","3.20","0","","3.19","100.00","320.00"
"18/12/2018","GOIL","5.05","2.92","3.20","3.20","3.19","3.20","0","","3.19","4,400.00","14,058.00"
"17/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","4,600.00","14,720.00"
"14/12/2018","GOIL","5.05","2.92","3.20","3.20","3.19","3.20","0","","3.18","15,800.00","50,549.00"
"13/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","15,200.00","48,640.00"
"12/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","0.00","0.00"
"11/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","","700.00","2,240.00"
"10/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","0.00","0.00"
"06/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","1,500.00","4,800.00"
"05/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","400.00","1,280.00"
"04/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","0.00","0.00"
"03/12/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","100.00","320.00"
"30/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","100.00","320.00"
"29/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","11,800.00","37,760.00"
"28/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","0.00","0.00"
"27/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","0.00","0.00"
"26/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","","0.00","0.00"
"23/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","","0.00","0.00"
"22/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","400.00","1,280.00"
"21/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","","1,000.00","3,200.00"
"20/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","100.00","320.00"
"19/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","3.10","3.20","50,700.00","162,240.00"
"16/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","","37,500.00",""
"15/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","3.10","","17,200.00",""
"14/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","3.10","3.20","100.00",""
"13/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","0.00",""
"12/11/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","3.20","209,500.00",""
"09/11/2018","GOIL","5.05","2.92","3.25","3.25","3.20","3.20","-0.05","","3.20","500.00",""
"08/11/2018","GOIL","5.05","2.92","3.25","3.25","3.25","3.25","0","3.20","3.25","700.00",""
"07/11/2018","GOIL","5.05","2.92","3.27","3.27","3.25","3.25","-0.02","3.20","3.25","2,700.00",""
"06/11/2018","GOIL","5.05","2.92","3.35","3.35","3.26","3.27","-0.08","3.20","3.26","14,400.00",""
"05/11/2018","GOIL","5.05","2.92","3.35","3.35","3.35","3.35","0","3.30","3.36","0.00",""
"02/11/2018","GOIL","5.05","2.92","3.35","3.35","3.35","3.35","0","","3.50","0.00",""
"01/11/2018","GOIL","5.05","2.92","3.30","3.30","3.35","3.35","0.05","","3.50","6,500.00",""
"31/10/2018","GOIL","5.05","2.92","3.30","3.30","3.30","3.30","0","","","0.00",""
"30/10/2018","GOIL","5.05","2.92","3.30","3.30","3.30","3.30","0","","","20,900.00",""
"29/10/2018","GOIL","5.05","2.92","3.30","3.30","3.30","3.30","0","3.30","3.32","700.00",""
"26/10/2018","GOIL","5.05","2.92","3.30","3.30","3.30","3.30","0","3.30","3.32","0.00",""
"24/10/2018","GOIL","5.05","2.92","3.28","3.28","3.38","3.28","0","3.28","3.30","0.00",""
"24/10/2018","GOIL","5.05","2.92","3.28","3.28","3.30","3.30","0.02","3.30","3.34","9,600.00",""
"23/10/2018","GOIL","5.05","2.92","3.30","3.30","3.38","3.28","-0.02","3.20","","5,900.00",""
"22/10/2018","GOIL","5.05","2.92","3.20","3.20","3.30","3.30","0.1","3.30","","2,300.00",""
"19/10/2018","GOIL","5.05","2.92","3.20","3.20","3.20","3.20","0","","","5,000.00",""
"18/10/2018","GOIL","5.05","2.92","3.32","3.32","3.20","3.20","-0.12","","3.20","2,900.00",""
"17/10/2018","GOIL","5.05","2.92","2.90","2.90","3.34","3.32","0.42","","","5,200.00",""
"16/10/2018","GOIL","5.05","2.92","2.95","2.95","2.90","2.90","-0.05","2.90","","600.00",""
"15/10/2018","GOIL","5.05","2.92","2.95","2.95","3.29","2.95","0","","2.95","0.00",""
"12/10/2018","GOIL","5.05","2.92","2.95","2.95","3.29","2.95","0","2.56","2.95","100.00",""
"11/10/2018","GOIL","5.05","2.92","2.86","2.86","3.29","2.95","0.09","","3.29","93,800.00",""
"10/10/2018","GOIL","5.05","2.92","2.86","2.86","2.85","2.86","0","","2.85","0.00",""
"09/10/2018","GOIL","5.05","2.92","2.86","2.86","2.85","2.86","0","2.89","2.92","1,100.00",""
"08/10/2018","GOIL","5.05","2.92","2.82","2.82","2.85","2.86","0.04","","3.00","3,800.00",""
"05/10/2018","GOIL","5.05","2.92","2.82","2.82","2.82","2.82","0","","","18,600.00",""
"04/10/2018","GOIL","5.05","2.92","2.82","2.82","2.82","2.82","0","","2.82","6,000.00",""
"03/10/2018","GOIL","5.05","2.92","2.82","2.82","2.82","2.82","0","","2.82","2,000.00",""
"02/10/2018","GOIL","5.05","2.92","2.81","2.81","2.82","2.82","0.01","2.60","2.83","54,800.00",""
"01/10/2018","GOIL","5.05","2.92","2.81","2.81","2.80","2.81","0","2.81","","4,500.00",""
"28/09/2018","GOIL","5.05","2.92","2.81","2.81","2.80","2.81","0","2.60","2.81","2,500.00",""
"27/09/2018","GOIL","5.05","2.92","2.81","2.81","2.80","2.81","0","2.81","3.00","8,700.00",""
"26/09/2018","GOIL","5.05","2.92","2.60","2.60","2.80","2.81","0.21","","2.81","7,200.00",""
"25/09/2018","GOIL","5.05","2.92","2.60","2.60","2.60","2.60","0","","2.60","32,300.00",""
"24/09/2018","GOIL","5.05","2.92","2.60","2.60","2.60","2.60","0","","2.60","5,000.00",""
"20/09/2018","GOIL","5.05","2.92","2.60","2.60","2.60","2.60","0","","","14,600.00",""
"19/09/2018","GOIL","5.05","2.92","2.60","2.60","2.60","2.60","0","2.60","","12,000.00",""
"18/09/2018","GOIL","5.05","2.92","2.60","2.60","2.60","2.60","0","","2.60","53,600.00",""
"17/09/2018","GOIL","5.05","2.92","2.60","2.60","2.60","2.60","0","","2.60","0.00",""
"14/09/2018","GOIL","5.05","2.92","2.60","2.60","2.60","2.60","0","","2.60","21,800.00",""
"13/09/2018","GOIL","5.05","2.92","2.60","2.60","2.60","2.60","0","","2.60","400.00",""
"12/09/2018","GOIL","5.05","2.92","2.95","2.95","2.60","2.60","-0.35","","2.60","60,200.00",""
"11/09/2018","GOIL","5.05","2.92","2.97","2.97","2.95","2.95","-0.02","2.95","2.97","19,197,100.00",""
"10/09/2018","GOIL","5.05","2.92","2.92","2.92","2.97","2.97","0.05","","2.97","200.00",""
"07/09/2018","GOIL","5.05","2.92","2.97","2.97","2.92","2.92","-0.05","2.92","2.97","45,000.00",""
"06/09/2018","GOIL","5.05","2.97","2.97","2.97","2.97","2.97","0","2.90","2.97","1,600.00",""
"05/09/2018","GOIL","5.05","2.97","2.97","2.97","2.97","2.97","0","2.90","2.97","0.00",""
"04/09/2018","GOIL","5.05","2.97","2.99","2.99","2.97","2.97","-0.02","","2.98","800.00",""
"03/09/2018","GOIL","5.05","2.99","2.99","2.99","2.99","2.99","0","","2.99","600.00",""
"31/08/2018","GOIL","5.05","2.99","3.00","3.00","2.99","2.99","-0.01","2.95","2.99","171,500.00",""
"30/08/2018","GOIL","5.05","3.00","3.00","3.00","3.00","3.00","0","","3.00","1,200.00",""
"29/08/2018","GOIL","5.05","3.00","3.00","3.00","3.00","3.00","0","","3.00","25,600.00",""
"28/08/2018","GOIL","5.05","3.00","3.15","3.15","3.00","3.00","-0.15","","3.00","75,600.00",""
"27/08/2018","GOIL","5.05","3.15","3.15","3.15","3.15","3.15","0","","3.15","300.00",""
"24/08/2018","GOIL","5.05","3.15","3.15","3.15","3.15","3.15","0","3.00","3.15","0.00",""
"23/08/2018","GOIL","5.05","3.15","3.15","3.15","3.15","3.15","0","3.00","3.15","0.00",""
"22/08/2018","GOIL","5.05","3.15","3.15","3.15","3.15","3.15","0","3.00","3.15","200.00",""
"20/08/2018","GOIL","5.05","3.15","3.20","3.20","3.15","3.15","-0.05","","3.20","1,300.00",""
